(OCoLC)1481556	990000092930302486,(Aleph)000009293EMU01	1469-2902; 0066-4677	0
ocm45585669	990000094030302486,(Aleph)000009403EMU01	None	0
ocm45585747	990000094070302486,(Aleph)000009407EMU01	None	0
ocm45585875	990000094100302486,(Aleph)000009410EMU01	None	0
(OCoLC)45586200	990000094680302486,(Aleph)000009468EMU01	None	0
ocm45287388	990000094860302486,(Aleph)000009486EMU01	None	0
ocm35068593	990000097190302486,(Aleph)000009719EMU01	None	0
(OCoLC)45629744	990000098010302486,(Aleph)000009801EMU01	None	0
(OCoLC)31388883	990000098060302486,(Aleph)000009806EMU01	None	0
(OCoLC)16978375	990000098290302486,(Aleph)000009829EMU01	0896-2863	0
ocm45608390	990000100920302486,(Aleph)000010092EMU01	1118-3993	0
(OCoLC)42358649	990000102300302486,(Aleph)000010230EMU01	1526-6796	0
ocm36627104	990000103120302486,(Aleph)000010312EMU01	1525-3384	0
(OCoLC)41350141	990000104010302486,(Aleph)000010401EMU01	1525-0008	0
ocm41254807	990000104220302486,(Aleph)000010422EMU01	1524-8372	0
(OCoLC)2469612	990000104230302486,(Aleph)000010423EMU01	0376-7396	0
(OCoLC)12849677	990000104240302486,(Aleph)000010424EMU01	0169-0965	0
ocm37901723	990000106600302486,(Aleph)000010660EMU01	None	0
(OCoLC)2716664	990000106690302486,(Aleph)000010669EMU01	None	1
(OCoLC)2062625	990000106700302486,(Aleph)000010670EMU01	None	1
(OCoLC)4217929	990000106710302486,(Aleph)000010671EMU01	None	1
ocm2063821	990000107500302486,(Aleph)000010750EMU01	0300-9289	1
(OCoLC)2063774	990000107590302486,(Aleph)000010759EMU01	0300-9297	1
ocm2063724	990000107600302486,(Aleph)000010760EMU01	0300-9300	1
(OCoLC)2059766	990000107630302486,(Aleph)000010763EMU01	0300-9335	1
(OCoLC)19537120	990000111160302486,(Aleph)000011116EMU01	None	0
(OCoLC)37359688	990000112130302486,(Aleph)000011213EMU01	None	0
(OCoLC)44948529	990000112140302486,(Aleph)000011214EMU01	1541-4647	0
ocm9029531	990000113300302486,(Aleph)000011330EMU01	None	1
(OCoLC)45662486	990000113680302486,(Aleph)000011368EMU01	1567-424X	0
(OCoLC)45474712	990000115320302486,(Aleph)000011532EMU01	1561-5502	0
(OCoLC)27341231	990000118910302486,(Aleph)000011891EMU01	1931-7522	0
(OCoLC)13979159	990000120430302486,(Aleph)000012043EMU01	0326-7458	0
ocm9775362	990000124980302486,(Aleph)000012498EMU01	None	1
(OCoLC)35051761	990000124990302486,(Aleph)000012499EMU01	1353-2944	0
(OCoLC)39752401	990000125020302486,(Aleph)000012502EMU01	1521-4206	0
(OCoLC)9357264	990000125060302486,(Aleph)000012506EMU01	1154-7782	0
(OCoLC)3062685	990000125070302486,(Aleph)000012507EMU01	0340-2215	0
(OCoLC)34982205	990000128510302486,(Aleph)000012851EMU01	1089-327X	0
ocm1569008	990000128590302486,(Aleph)000012859EMU01	None	0
(OCoLC)38940640	990000128600302486,(Aleph)000012860EMU01	None	0
ocm1752110	990000128630302486,(Aleph)000012863EMU01	0440-9205	0
ocm7042965	990000129180302486,(Aleph)000012918EMU01	8750-2631	0
ocm1695856	990000129190302486,(Aleph)000012919EMU01	None	0
ocm1645895	990000129210302486,(Aleph)000012921EMU01	None	0
ocm1761690	990000129220302486,(Aleph)000012922EMU01	None	0
(OCoLC)7469030	990000129230302486,(Aleph)000012923EMU01	0584-4215	0
ocm1766208	990000129250302486,(Aleph)000012925EMU01	None	0
(OCoLC)210305562	990000129510302486,(Aleph)000012951EMU01	None	0
(OCoLC)45642677	990000130710302486,(Aleph)000013071EMU01	None	0
(OCoLC)42729388	990000130740302486,(Aleph)000013074EMU01	0948-0471	0
(OCoLC)44806798	990000130900302486,(Aleph)000013090EMU01	1047-5699; 1532-2445; 1531-2445	0
(OCoLC)27306360	990000130940302486,(Aleph)000013094EMU01	None	0
